ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-06-24 12:25:37.325510,-57.31681835685855,-66.95462605044813,-47.547767479252464,-57.31681835685855,-57.31681835685855,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681835685855
2024-06-24 12:25:37.325931,-57.31681835264037,-66.50268789492492,-48.10743041972309,-57.31681835264037,-57.31681835264037,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681835264037
2024-06-24 12:25:37.326299,-57.31681834895321,-66.48669146155643,-47.45414882519098,-57.31681834895321,-57.31681834895321,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681834895321
2024-06-24 12:25:37.326655,-57.316818345386295,-66.63565390001894,-47.129201347063464,-57.316818345386295,-57.316818345386295,0.0,0.0,0.0,0.0,0.0,0.0,-57.316818345386295
2024-06-24 12:25:37.327048,-57.31681834144865,-66.78941864176478,-47.760185424506396,-57.31681834144865,-57.31681834144865,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681834144865
2024-06-24 12:25:37.327398,-57.316818337941854,-66.82883515811189,-47.986692371017746,-57.316818337941854,-57.316818337941854,0.0,0.0,0.0,0.0,0.0,0.0,-57.316818337941854
2024-06-24 12:25:37.327755,-57.31681833436491,-67.00814402921252,-47.92308564987171,-57.31681833436491,-57.31681833436491,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681833436491
2024-06-24 12:25:37.328111,-57.31681833079799,-66.65379711819959,-47.8082167609708,-57.31681833079799,-57.31681833079799,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681833079799
2024-06-24 12:25:37.328477,-57.31681832713088,-66.78683389964591,-48.09202417537008,-57.31681832713088,-57.31681832713088,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681832713088
2024-06-24 12:25:37.329453,-57.31681831735191,-66.87231801986316,-47.40141044281008,-57.31681831735191,-57.31681831735191,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681831735191
2024-06-24 12:25:37.329939,-57.31681831248247,-67.23087600722195,-47.747697659481865,-57.31681831248247,-57.31681831248247,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681831248247
2024-06-24 12:25:37.330377,-57.31681830809396,-66.94982406708503,-48.78740875997398,-57.31681830809396,-57.31681830809396,0.0,0.0,0.0,0.0,0.0,0.0,-57.31681830809396
